"League","date","Time","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","Home","Away","season","avg_age","players_used","foreigners_used","stadium_size","avg_att","occupancy","covid","covid_occupancy","avg_age_away","players_used_away","percentage_foreigners_used_away","NA","NA","NA"
"I1",0012-12-20,"19:45","Lazio","Verona","1","2","A","0","1","A","8","3","5","3","13","15","5","3","5","3","0","0","Lazio","Verona","28.9",27,0.754,"73261","0",0,1,0,"2020/21",25.7,30,0.468,"39211","0",0
"I1",0013-12-20,"11:30","Cagliari","Inter","1","3","A","1","0","H","7","20","2","11","10","17","3","9","2","1","0","0","Cagliari","Inter","25.9",31,0.644,"16416","0",0,1,0,"2020/21",28.1,23,0.738,"75923","1000",0
"I1",0013-12-20,"14:00","Atalanta","Fiorentina","3","0","H","1","0","H","14","3","10","2","17","13","11","2","1","2","0","0","Atalanta","Fiorentina","27",30,0.773,"22512","0",0,1,0,"2020/21",26.6,30,0.731,"47282","0",0
"I1",0013-12-20,"14:00","Bologna","Roma","1","5","A","1","5","A","4","13","1","8","16","9","1","5","4","2","0","0","Bologna","Roma","26.5",32,0.728,"36462","0",0,1,0,"2020/21",26.6,26,0.668,"73261","0",0
"I1",0013-12-20,"14:00","Napoli","Sampdoria","2","1","H","0","1","A","13","4","8","3","7","13","7","5","3","4","0","0","Napoli","Sampdoria","26.9",25,0.72,"54726","0",0,1,0,"2020/21",27.7,26,0.561,"36348","0",0
"I1",0013-12-20,"17:00","Genoa","Juventus","1","3","A","0","0","D","2","15","2","9","13","14","0","10","3","3","0","0","Genoa","Juventus","27.8",33,0.453,"36599","0",0,1,0,"2020/21",26.8,28,0.77,"41507","0",0
"I1",0013-12-20,"19:45","Milan","Parma","2","2","D","0","1","A","16","5","10","3","12","14","13","1","3","3","0","0","Milan","Parma","24.1",29,0.7,"75923","1000",0.013171239281904,1,0,"2020/21",27.4,37,0.693,"22352","0",0
"I1",0015-12-20,"17:30","Udinese","Crotone","0","0","D","0","0","D","8","4","6","2","13","17","9","1","1","4","0","0","Udinese","Crotone","27.2",30,0.851,"25144","0",0,1,0,"2020/21",27.4,29,0.595,"16640","0",0
"I1",0015-12-20,"19:45","Benevento","Lazio","1","1","D","1","1","D","7","8","6","3","15","15","4","8","2","2","1","0","Benevento","Lazio","28.3",26,0.381,"16867","0",0,1,0,"2020/21",28.9,27,0.754,"73261","0",0
"I1",0016-12-20,"17:30","Juventus","Atalanta","1","1","D","1","0","H","11","11","7","6","13","18","2","6","3","2","0","0","Juventus","Atalanta","26.8",28,0.77,"41507","0",0,1,0,"2020/21",27,30,0.773,"22512","0",0
