"Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","avg_age_home","players_used_home","foreigners_home","stadium_size","avg_attendance","occupancy","avg_age_away","players_used_away","foreigners_away","season","league","spi1","spi2","prob1","prob2","probtie","proj_score1","proj_score2","importance1","importance2","xg1","xg2","nsxg1","nsxg2","adj_score1","adj_score2","yel_card_spread","rating_diff","xg_diff","age_diff","red_card_spread","importance_diff","covid","home_win","away_win","draw","home_points","away_points","yel_card_ratio_home","red_card_ratio_home","yel_card_ratio_away","red_card_ratio_away","home_points_percentage_total","away_points_percentage_total","shots_ratio_home","shots_ratio_away","goal_diff","diff_point"
2019-04-14,"Liverpool","Chelsea",2,0,"H",15,6,7,3,5,9,9,2,0,1,0,0,26.2,23,0.777,"54,074","52983",0.979823945,27.1,24,0.93,2018,"Barclays Premier League",92.95,85.61,0.5896,0.1767,0.2337,1.95,0.96,100,100,1.52,1.4,2.23,0.62,2.1,0,-1,7.34,0.12,-0.900000000000002,0,0,0,1,0,0,3,0,0,0,0.111111111111111,0,1,0,0.466666666666667,0.5,2,3
2019-04-15,"Watford","Arsenal",0,1,"A",11,19,3,6,12,8,6,4,2,0,1,0,27.9,25,0.755,"21577","20016",0.927654447,26.4,28,0.94,2018,"Barclays Premier League",69.66,81.44,0.2381,0.526,0.2358,1.27,1.98,0,100,1,2.27,1.12,2.65,0,1.05,2,-11.78,-1.27,1.5,1,-100,0,0,1,0,0,3,0.166666666666667,0.166666666666667,0,0,0,1,0.272727272727273,0.315789473684211,-1,-3
2019-04-16,"Brighton","Cardiff",0,2,"A",14,10,2,3,11,13,5,4,0,1,0,0,27.2,21,0.707,"30,666","30426",0.992173743,27.3,25,0.657,2018,"Barclays Premier League",57.98,57.19,0.4455,0.2663,0.2881,1.41,1.03,49,49.5,0.66,0.92,1.85,0.78,0,2.1,-1,0.789999999999999,-0.26,-0.100000000000001,0,-0.5,0,0,1,0,0,3,0,0,0.0769230769230769,0,0,1,0.142857142857143,0.3,-2,-3
2019-04-20,"Bournemouth","Fulham",0,1,"A",15,17,5,5,11,18,3,7,1,3,0,0,26.2,28,0.522,"11329","10532",0.929649572,25.8,28,0.76,2018,"Barclays Premier League",67.05,58.03,0.4589,0.288,0.2531,1.74,1.34,0,0,2.81,2.46,1.44,1.97,0,1.05,-2,9.02,0.35,0.399999999999999,0,0,0,0,1,0,0,3,0.0909090909090909,0.0909090909090909,0.166666666666667,0,0,1,0.333333333333333,0.294117647058824,-1,-3
2019-04-20,"Huddersfield","Watford",1,2,"A",13,11,3,6,15,9,2,2,2,2,0,0,25.9,31,0.794,"24500","23340",0.952653061,27.9,25,0.755,2018,"Barclays Premier League",51.83,68.75,0.3091,0.4148,0.276,1.23,1.47,0,0,1.04,1.13,0.63,1.19,1.05,1.84,0,-16.92,-0.0899999999999999,-2,0,0,0,0,1,0,0,3,0.133333333333333,0.133333333333333,0.222222222222222,0,0,1,0.230769230769231,0.545454545454545,-1,-3
2019-04-20,"Man City","Tottenham",1,0,"H",15,10,4,4,11,11,4,4,1,2,0,0,26.4,21,0.778,"55017","54130",0.983877711,26.6,28,0.679,2018,"Barclays Premier League",94.85,84.13,0.7047,0.1114,0.1839,2.39,0.84,100,59.2,2.02,1.33,1.92,0.77,1.05,0,-1,10.72,0.69,-0.200000000000003,0,40.8,0,1,0,0,3,0,0.0909090909090909,0.0909090909090909,0.181818181818182,0,1,0,0.266666666666667,0.4,1,3
2019-04-20,"Newcastle","Southampton",3,1,"H",15,15,6,3,5,11,4,11,0,2,0,0,26.6,24,0.826,"52338","51121",0.976747296,25.4,30,0.554,2018,"Barclays Premier League",67.49,68.09,0.3976,0.3123,0.2901,1.34,1.15,0.2,0.4,1.48,1.35,1.02,1.69,2.73,1.05,-2,-0.600000000000009,0.13,1.2,0,-0.2,0,1,0,0,3,0,0,0,0.181818181818182,0,1,0,0.4,0.2,2,3
2019-04-20,"West Ham","Leicester",2,2,"D",11,11,3,5,8,9,6,8,2,0,0,0,27.7,26,0.747,"60000","58336",0.972266667,25.9,25,0.547,2018,"Barclays Premier League",62.59,72.47,0.3567,0.3754,0.2679,1.42,1.47,0,0,1.25,0.95,1.44,1.18,2.1,2.1,2,-9.88,0.3,1.8,0,0,0,0,0,1,1,1,0.25,0.25,0,0,0.5,0.5,0.272727272727273,0.454545454545455,0,0
2019-04-20,"Wolves","Brighton",0,0,"D",22,5,5,0,0,8,14,1,0,1,0,0,25.4,21,0.808,"32050","31025",0.968018721,27.2,21,0.707,2018,"Barclays Premier League",68.79,57.06,0.5156,0.2111,0.2733,1.57,0.91,0,50.3,2.55,0.2,2.74,0.27,0,0,-1,11.73,2.35,-1.8,0,-50.3,0,0,0,1,1,1,NA,NA,0.125,0,0.5,0.5,0.227272727272727,0,0,0
2019-04-21,"Arsenal","Crystal Palace",2,3,"A",12,16,5,7,15,12,8,3,4,1,0,0,26.4,28,0.94,"60704","59899",0.98673893,27.2,26,0.705,2018,"Barclays Premier League",82.37,70.31,0.6883,0.1107,0.2011,2.15,0.73,100,0,1.7,2.37,1.94,1.53,2.1,3.15,3,12.06,-0.67,-0.800000000000001,0,100,0,0,1,0,0,3,0.266666666666667,0.266666666666667,0.0833333333333333,0,0,1,0.416666666666667,0.4375,-1,-3
